Descripción,Unidad,Costo
"Codo Fo.Fo. Bridado de 90° x 2-1/2"" (63 mm)",pieza,$316.40
"Codo Fo.Fo. Bridado de 90° x 3"" (76 mm)",pieza,$386.51
"Codo Fo.Fo. de 45° x 10""(254 mm) modelo L123",pieza,"$1,456.87"
"Codo Fo.Fo. de 45° x 4""(102 mm) modelo M398",pieza,$168.31
"Codo Fo.Fo. de 45° x 6""(152 mm) modelo M607",pieza,$418.81
"Codo Fo.Fo. de 45° x 8""(203 mm) modelo L122",pieza,$882.67
"Codo Fo.Fo. de 90° x 10"" (254 mm) modelo L454",pieza,"$2,299.41"
"Codo fofo 45, 22 y 11 de 51 mm ( 2"")",pieza,$341.29
Coladera Pluvial con boca de tormenta Fo.Fo. de 75 kg,pieza,"$1,050.00"
"Coladera Tipo plato de hierro gris con rejilla redonda de acero inoxidable modelo UP 660, diametro de 31.75cms y rejilla redonda de 23.31 cns, con conexión roscada para 4""(100mm)",pieza,"$1,188.01"
"Compuesto RD+Mix Clásico, de 22 kg",pieza,$233.28
"Concreto asfáltico en planta agregado de 3/4"" a finos cemento asfáltico AC-20",m³,"$3,097.13"
Concreto Pmz fc=200 kg/cm2 Rev. 14 - 28 D,m³,"$1,366.00"
Concreto Pmz fc=250 kg/cm2 Rev. 14 - 28 D,m³,"$1,462.00"
"Concreto premezclado ""B"", f'c 150 kg/cm² resist. Normal tma 20 mm",m³,"$1,327.00"
"Concreto premezclado ""B"", f'c 200 kg/cm² resist. Normal tma 20 mm",m³,"$1,366.00"
"Contramarco doble canal 6"" x 1.80 m",pieza,"$3,178.81"
"Contramarco doble canal 6"" x 2.10 m",pieza,"$3,503.72"
"Contramarco sencillo centrado, canal de 6""x 1.40 m",pieza,"$1,928.37"
"Contramarco sencillo centrado, canal de 6""x 1.80 m",pieza,"$2,291.56"
"Contramarco sencillo centrado, canal de 6""x 2.10 m",pieza,"$2,556.33"
"Cristal flotado de 4 mm de espesor, de 2.30x2.60 m, tipo Claro",m²,$149.55
"Cruz Fo.Fo. Bridada de 10"" x 10"" (250x250 mm)",pieza,"$17,614.31"
"Cruz Fo.Fo. Bridada de 10"" x 2-1/2"" (250x63 mm)",pieza,"$3,827.53"
"Cruz Fo.Fo. Bridada de 10"" x 3"" (250x76 mm)",pieza,"$3,865.87"
"Cruz Fo.Fo. Bridada de 10"" x 4"" (250x100 mm)",pieza,"$4,133.87"
"Cruz Fo.Fo. Bridada de 10"" x 6"" (250x150 mm)",pieza,"$4,401.76"
"Cruz Fo.Fo. Bridada de 10"" x 8"" (250x200 mm)",pieza,"$4,860.98"
"Cruz Fo.Fo. Bridada de 2"" x 2"" (51x51 mm)",pieza,$459.47
"Cruz Fo.Fo. Bridada de 2-1/2"" x 2"" (63x51 mm)",pieza,$574.12
"Cruz Fo.Fo. Bridada de 2-1/2"" x 2-1/2"" (63x63 mm)",pieza,$650.59
"Cruz Fo.Fo. Bridada de 3"" x 2"" (76x51 mm)",pieza,$689.03
"Cruz Fo.Fo. Bridada de 3"" x 2-1/2"" (76x63 mm)",pieza,$727.11
"Cruz Fo.Fo. Bridada de 3"" x 3"" (76x76 mm)",pieza,$803.78
"Cruz Fo.Fo. Bridada de 4"" x 2"" (100x51 mm)",pieza,$995.16
"Cruz Fo.Fo. Bridada de 4"" x 2-1/2"" (100x63 mm)",pieza,"$1,071.68"
"Cruz Fo.Fo. Bridada de 4"" x 3"" (100x76 mm)",pieza,"$1,110.11"
"Cruz Fo.Fo. Bridada de 4"" x 4"" (100x100 mm)",pieza,"$1,339.62"
"Cruz Fo.Fo. Bridada de 6"" x 2"" (150x51 mm)",pieza,"$1,531.00"
"Cruz Fo.Fo. Bridada de 6"" x 2-1/2"" (150x63 mm)",pieza,"$1,607.61"
"Cruz Fo.Fo. Bridada de 6"" x 3"" (150x76 mm)",pieza,"$1,685.80"
"Cruz Fo.Fo. Bridada de 6"" x 4"" (150x100 mm)",pieza,"$1,875.60"
"Cruz Fo.Fo. Bridada de 6"" x 6"" (150x150 mm)",pieza,"$2,181.83"
"Cruz Fo.Fo. Bridada de 8"" x 2-1/2"" (200x63 mm)",pieza,"$2,449.83"
"Cruz Fo.Fo. Bridada de 8"" x 3"" (200x76 mm)",pieza,"$2,487.91"
"Cruz Fo.Fo. Bridada de 8"" x 4"" (200x100 mm)",pieza,"$2,717.48"
"Cruz Fo.Fo. Bridada de 8"" x 6"" (200x150 mm)",pieza,"$2,949.33"
"Cruz Fo.Fo. Bridada de 8"" x 8"" (200x200 mm)",pieza,"$3,368.32"
Detergente en polvo de 1 kg,kg,$25.43
Diesel,l,$18.63
"Electrodo revestido de 1/8"" de diámetro, 14"" de longitud, tipo Lincoln 46 E6013",kg,$70.69
"Empaque de plomo 2"" (51 mm), 2mm de espesor",pieza,$23.53
"Empaque de plomo de 10"" (256 mm)",pieza,$165.88
"Empaque de plomo de 2-1/2"" (63 mm)",pieza,$26.47
"Empaque de plomo de 3"" (76 mm)",pieza,$35.29
"Empaque de plomo de 4"" (101 mm)",pieza,$47.06
"Empaque de plomo de 6"" (152 mm)",pieza,$58.82
"Empaque de plomo de 8"" (203 mm)",pieza,$111.76
"Emulsión asfáltica RR-2K, elaborada con AC-20 ó equivalente y materiales pétreos de granulometría 3/4"" (19 mm).",l,$9.80
"Entrada de servicio (mufa) tipo abrazadera de 1/2""(13 mm) modelo EH-1",pieza,$24.29
