Descripción,Unidad,Costo
"Tornillo cabeza hexagonal Grado 2 de 1/2"" x 2"", código EL13051",pieza,$13.16
"Tornillo cabeza hexagonal Grado 2 de 3/4"" x 4"", código EL19102",pieza,$50.59
"Tornillo cabeza hexagonal Grado 2 de 7/8"" x 5"", código EL22127",pieza,$86.21
"Tornillo de acero de 16 x 64 mm (5/8"" x 2 1/2"") para brida",pieza,$17.24
"Tornillo de acero de 16 x 75 mm (5/8"" x 3"") para brida",pieza,$20.69
Triplay de madera de pino de 1a de 6 mm x 1.22 m x 2.44 m,m²,$91.43
"Tubo de concreto reforzado de 107 cm (42"") con junta hermética, unión espiga-campana, grado 1",m,"$2,298.00"
"Tubo de concreto reforzado de 122 cm (48"") con junta hermética, unión espiga-caja, grado 1",m,"$2,754.00"
"Tubo de concreto reforzado de 45 cm (18"") con junta hermética, unión espiga-campana, grado 1",m,$556.00
"Tubo de concreto reforzado de 61 cm (24"") con junta hermética, unión espiga-campana, grado 1",m,$846.00
"Tubo de concreto reforzado de 76 cm (30"") con junta hermética, unión espiga-campana, grado 1",m,"$1,324.00"
"Tubo de concreto reforzado de 91 cm (36"") con junta hermética, unión espiga-campana, grado 1",m,"$1,735.00"
"Tubo de concreto simple de 15 cm (6"") con junta hermética, grado 1",m,$105.00
"Tubo de concreto simple de 15 cm (6"") con junta hermética, grado 1",m,$105.00
"Tubo de concreto simple de 20 cm (8"") con junta hermética, grado 1",m,$147.00
"Tubo de concreto simple de 25 cm (10"") con junta hermética, grado 1",m,$206.00
"Tubo de concreto simple de 25 cm (10"") con junta hermética, grado 1",m,$206.00
"Tubo de concreto simple de 30 cm (12"") con junta hermética, grado 1",m,$251.00
"Tubo de concreto simple de 38 cm (15"") con junta hermética, grado 1",m,$393.00
"Tubo de concreto simple de 45 cm (18"") con junta hermética, grado 1",m,$449.00
"Tubo de concreto simple de 61 cm (24"") con junta hermética, grado 1",m,$846.00
"Tubo de concreto simple de 8"" (200 mm)",m,$338.67
"Tubo de PVC sistema inglés RD 26 de espiga-campana de 100 mm (4"") de 6m",m,$98.20
"Tubo de PVC sistema inglés RD 26 de espiga-campana de 150 mm (6"") de 6m",m,$150.68
"Tubo de PVC sistema inglés RD 26 de espiga-campana de 200 mm (8"") de 6m",m,$256.13
"Tubo de PVC sistema inglés RD 26 de espiga-campana de 51 mm (2"") de 6m",m,$19.25
"Tubo de PVC sistema inglés RD 26 de espiga-campana de 64 mm (2 1/2"") de 6m",m,$28.42
"Tubo de PVC sistema inglés RD 26 de espiga-campana de 75 mm (3"") de 6m",m,$42.01
"Tubo hidráulico PVC con campana sistema inglés RD-21, de 114.3 mm (4"") tramo de 6 m",m,$115.96
"Tubo hidráulico PVC con campana sistema inglés RD-21, de 73 mm (2 1/2"") tramo de 6 m",m,$50.61
"Tubo hidráulico PVC con campana sistema inglés RD-21, de 88.9 mm (3"") tramo de 6 m",m,$70.91
"Tubo sanitario de PVC pared lisa de 50 mm (2"") tramo de 6 m",m,$11.00
Utilidad de taller (materiales),%ma,$19.71
"Válvula de compuerta de hierro fundido tipo OS&Y de 102 mm (4"") barrenado a bridas, con vástago ascendente, clase 125, figura W726F",pieza,"$7,816.70"
"Válvula de compuerta de hierro fundido tipo OS&Y de 152 mm (6"") barrenado a bridas, con vástago ascendente, clase 125, figura W726F",pieza,"$13,389.43"
"Válvula de compuerta de hierro fundido tipo OS&Y de 203 mm (8"") barrenado a bridas, con vástago ascendente, clase 125, figura W726F",pieza,"$19,493.90"
"Válvula de compuerta de hierro fundido tipo OS&Y de 254 mm (10"") barrenado a bridas, con vástago ascendente, clase 125, figura W726F",pieza,"$30,958.40"
"Válvula de compuerta de hierro fundido tipo OS&Y de 51 mm (2"") barrenado a bridas, con vástago ascendente, clase 125, figura W726F",pieza,"$3,392.56"
"Válvula de compuerta de hierro fundido tipo OS&Y de 64 mm (2 1/2"") barrenado a bridas, con vástago ascendente, clase 125, figura W726F",pieza,"$4,307.16"
"Válvula de compuerta de hierro fundido tipo OS&Y de 76 mm (3"") barrenado a bridas, con vástago ascendente, clase 125, figura W726F",pieza,"$4,987.80"
"Válvula de retención de hierro fundido de 102 mm (4"") barrenado a bridas, Clase 125, figura W928F",pieza,"$6,221.46"
"Válvula de retención de hierro fundido de 152 mm (6"") barrenado a bridas, Clase 125, figura W928F",pieza,"$9,890.52"
"Válvula de retención de hierro fundido de 203 mm (8"") barrenado a bridas, Clase 125, figura W928F",pieza,"$16,665.00"
"Válvula de retención de hierro fundido de 254 mm (10"") barrenado a bridas, Clase 125, figura W928F",pieza,"$27,268.07"
"Válvula de retención de hierro fundido de 51 mm (2"") barrenado a bridas, Clase 125, figura W928F",pieza,"$2,541.76"
"Válvula de retención de hierro fundido de 64 mm (2 1/2"") barrenado a bridas, Clase 125, figura W928F",pieza,"$3,318.11"
"Válvula de retención de hierro fundido de 76 mm (3"") barrenado a bridas, Clase 125, figura W928F",pieza,"$4,009.38"
"Varilla corrugada grado 60 de 5/16"", clave 2425",kg,$16.98
"Varilla de acero corrugada, grado 42 del N° 3 (3/8"") clave 30764",t,"$16,790.92"
"Varilla de acero corrugada, grado 42 del N° 4 (1/2"") clave 30767",t,"$16,790.92"
"Varilla de acero corrugada, grado 42 del N° 5 (5/8"") clave 30770",kg,$16.79
"Varilla de acero corrugada, grado 42 del N° 8 (1"") clave 30776",kg,$16.79
"Ventana corrediza de 0.60x0.60 m, perfil 1 1/2"", cristal claro de 3mm de espesor, modelo aLumi pro, color blanco",pieza,$315.85
"Ventana corrediza de 0.60x0.60 m, perfil 1 1/2"", cristal satinado de 3mm de espesor, modelo aLumi pro, color blanco",pieza,$357.04
"Ventana corrediza de 0.90x0.60 m, perfil 1 1/2"", cristal claro de 3mm de espesor, modelo aLumi pro, color blanco",pieza,$368.70
"Ventana corrediza de 0.90x0.60 m, perfil 1 1/2"", cristal satinado de 3mm de espesor, modelo aLumi pro, color blanco",pieza,$433.44
"Ventana corrediza de 0.90x1.20 m, perfil 1 1/2"", cristal claro de 3mm de espesor, modelo aLumi pro, color blanco",pieza,$556.17
"Ventana corrediza de 0.90x1.20 m, perfil 1 1/2"", cristal satinado de 3mm de espesor, modelo aLumi pro, color blanco",pieza,$703.25
"Ventana corrediza de 1.00x1.00 m, perfil 1 1/2"", cristal claro de 3mm de espesor, modelo aLumi pro, color blanco",pieza,$528.80
"Ventana corrediza de 1.20x1.20 m, perfil 1 1/2"", cristal claro de 3mm de espesor, modelo aLumi pro, color blanco",pieza,$659.25
"Ventana corrediza de 1.50x1.20 m, perfil 1 1/2"", cristal claro de 3mm de espesor, modelo aLumi pro, color blanco",pieza,$743.44
"Ventana corrediza de 1.80x1.20 m, perfil 1 1/2"", cristal claro de 3mm de espesor, modelo aLumi pro, color blanco",pieza,$831.83
"Yeso de construcción, tipo Imperial, color blanco, saco de 40 kg",t,"$1,350.00"
