Categoría,Salario Nominal
Aluminero,$720.18
Auxiliar topógrafo,$380.52
Ayudante de instalación,$421.23
Ayudante oficial,$366.85
Cabo de ayudantes,$597.89
Cabo de oficios,$774.54
Cadenero,$326.13
Carpintero de banco,$692.98
Carpintero de obra negra,$570.71
Herrero de campo,$570.71
Oficial albañil,$597.89
Oficial azulejero,$611.49
Oficial colocador,$692.98
Oficial electricista,$692.98
Oficial fierrero,$557.15
Oficial pintor,$516.37
Oficial plomero,$665.81
Oficial vidriero,$543.55
Oficial yesero,$557.15
Operador de camión,$747.34
Operador de cargador,$801.70
Operador de carpeteador,$883.19
Operador de duo-pactor,$665.81
Operador de equipo ligero,$516.37
Operador de motoconformadora,$883.19
Operador de petrolizadora,$801.70
Operador de plancha,$665.81
Operador de retroexcavadora,$883.19
Operador de tractor,$883.19
Operador de vehículo con grúa,$625.03
Rastrillero,$475.56
Tornillero,$489.16
Tubero,$720.18
