Categoría,Salario Nominal
Aluminero,$654.71
Auxiliar topógrafo,$345.93
Ayudante de instalación,$382.94
Ayudante oficial,$333.50
Cabo de ayudantes,$543.54
Cabo de oficios,$704.13
Cadenero,$296.48
Carpintero de banco,$629.98
Carpintero de obra negra,$518.83
Herrero de campo,$518.83
Oficial albañil,$543.54
Oficial azulejero,$555.90
Oficial colocador,$629.98
Oficial electricista,$629.98
Oficial fierrero,$506.50
Oficial pintor,$469.43
Oficial plomero,$605.28
Oficial vidriero,$494.14
Oficial yesero,$506.50
Operador de camión,$679.40
Operador de cargador,$728.82
Operador de carpeteador,$802.90
Operador de duo-pactor,$605.28
Operador de equipo ligero,$469.43
Operador de motoconformadora,$802.90
Operador de petrolizadora,$728.82
Operador de plancha,$605.28
Operador de retroexcavadora,$802.90
Operador de tractor,$802.90
Operador de vehículo con grúa,$568.21
Rastrillero,$432.33
Tornillero,$444.69
Tubero,$654.71
