Clave,Descripción,Unidad,Precio,Familia
SPGC-059,"Mortero ultramix para pisos ultradelgados, color gris, presentación en cubeta de 27 kg.",cb,146.9,AGLUTINANTES
ROCA-402,Block aparente rosa 40 x 20 x 12 cms de resistencia 60 kg/cm3 marca Rocacero.,pza,7.2998,BLOCK
ROCA-403,Block aparente gris 40 x 20 x 12 cms de resistencia 40 kg/cm3 marca Rocacero.,pza,5.9325,BLOCK
ROCA-408,Block hueco 40 x 20 x 12 cms de resistencia 60kg/cm3 marca Rocacero.,pza,13.77,BLOCK
ROCA-409,Block hueco 40 x 20 x 15 cms de resistencia 60kg/cm3 marca Rocacero.,pza,14.79,BLOCK
ROCA-410,Block hueco 40 x 20 x 20 cms de resistencia 60kg/cm3 marca Rocacero.,pza,15.8,BLOCK
ROCA-411,Block hueco 40 x 20 x 10 cms de resistencia 40kg/cm3 marca Rocacero.,pza,12.65,BLOCK
ROCA-417,Block hueco ligero 40 x 20 x 15 cms de resistencia 30kg/cm3 marca Rocacero.,pza,6.3732,BLOCK
ROCA-419,Block macizo 40 x 20 x 10 cms de resistencia 40kg/cm3 marca Rocacero.,pza,13.86,BLOCK
ROCA-420,Block macizo 40 x 20 x 12 cms de resistencia 40kg/cm3 marca Rocacero.,pza,14.79,BLOCK
ROCA-424,Block hueco 40 x 20 x 10 cms color rojo de resistencia 60kg/cm3 marca Rocacero.,pza,5.2545,BLOCK
ROCA-432,Block hueco 40 x 20 x 15 cms color rojo de resistencia 60kg/cm3 marca Rocacero.,pza,7.8535,BLOCK
ROCA-434,Block hueco 40 x 20 x 20 cms color cafe de resistencia 60kg/cm3 marca Rocacero.,pza,27.25,BLOCK
ROCA-439,Block hueco 40 x 20 x 10 cms color negro de resistencia 40kg/cm3 marca Rocacero.,pza,22.23,BLOCK
ROCA-441,Block hueco 40 x 20 x 12 cms color ocre de resistencia 40kg/cm3 marca Rocacero.,pza,23.07,BLOCK
ROCA-446,Block hueco 40 x 20 x 15 cms color cafe de resistencia 40kg/cm3 marca Rocacero.,pza,24.93,BLOCK
ROCA-452,Block hueco 40 x 20 x 20 cms color rojo de resistencia 40kg/cm3 marca Rocacero.,pza,28.56,BLOCK
CMC-51820,"Tabique vintex-multex, 12 x 12 x 24 cms. 5,824 piezas. Novaceramic.",tor,22040.8308,TABIQUE
CMC-58948,"Tabique tabicimbra-12, 12 x 12 x 23 cms. 6,240 piezas. Novaceramic.",tor,24256.128,TABIQUE
PRMB-028,Tabique tabimax 10 12 x 10 x 25 cms. marca Novaceramic.,mill,7830,TABIQUE
PRMB-029,Tabique tabimax-15 12 x 15 x 25 cms. marca Novaceramic.,mill,11620,TABIQUE
PRMB-030,Tabique vintex-6 6 x 12 x 24 cms. marca Novaceramic.,mill,1830.6,TABIQUE
CMC-62952,"Tabique multex-12, 12 x 12 x 24 cms. 5,824 piezas, Novaceramic.",tor,22040.8308,TABIQUE
PRMB-031,Tabique vintex esmaltado 1 cara 6 x 12 x 24 cms. marca Novaceramic.,mill,17530,TABIQUE
PRMB-032,Tabique vintex esmaltado 2 caras 6 x 12 x 24 cms. marca Novaceramic.,mill,24680,TABIQUE
MSAL-060,Tabicón sólido tipo pesado Rbs-100 de 7 x 12 x 24 cms. (precio en fábrica).,mill,1243,TABIQUE
MSAL-061,Tabicón sólido tipo pesado Rbs-100 de 9 x 13 x 27 cms. (precio en fábrica).,mill,1728.9,TABIQUE
MSAL-062,Tabicón sólido tipo ligero Rbs-70 de 7 x 12 x 24 cms. (precio en fábrica).,mill,1457.7,TABIQUE
MSAL-063,Tabicón sólido tipo ligero Rbs-70 de 9 x 13 x 27 cms. (precio en fábrica).,mill,1898.4,TABIQUE
DIMA-007,Tabicón ligero o pesado.,mill,3701.4,TABIQUE
PRMA-002,Tabique rojo recocido 6 x 12 x 23 cms.,mill,3.91,TABIQUE
DIMA-008,Tabique rojo recocido 6 x 11 x 23 cms.,mill,3907.21,TABIQUE
CMC-58959,Ladrillo recocido 2 x 10 x 20 cms. Promotora de resistencia.,mill,3797.29,TABIQUE
DIMA-006,Ladrillo rojo 2 x 12 x 24 cms. Cholula.,mill,1763.1842,TABIQUE
MATR-001,"Tablaroca-sheetrock normal de 2.44 mts. de largo x 1.22 mts. de ancho x 9.6 mm. espesor, de la línea USG.",pza,106.22,PANEL-YESO
MATR-003,"Tablaroca-sheetrock FC, firecode tipo X de 2.44 mts. de largo x 1.22 mts. de ancho x 12.7 mm. espesor, de la línea USG.",pza,135.4192,PANEL-YESO
MATR-007,"Tablaroca-sheetrock WR de 2.44 mts. de largo x 1.22 mts. de ancho x 12.7 mm. espesor, de la línea USG.",pza,171.7261,PANEL-YESO
MATR-009,"Tablacemento durock multiusos de 2.44 mts. de largo x 1.22 m de ancho x 12.7 mm. espesor, de la línea USG.",pza,411.094,PANEL-YESO
MATR-010,"Poste metálico 4.10, calibre 26 de 2.44 mts. de longitud, de la línea USG.",pza,35.7419,PANEL-YESO
MATR-011,"Poste metálico 4.10, calibre 26 de 3.05 mts. de longitud, de la línea USG.",pza,43.1547,PANEL-YESO
MATR-013,"Poste metálico 6.35, calibre 26 de 2.44 mts. de longitud, de la línea USG.",pza,41.2902,PANEL-YESO
MATR-016,"Poste metálico 9.20, calibre 26 de 3.05 mts. de longitud, de la línea USG.",pza,64.975,PANEL-YESO
MATR-012,"Canal metálico 4.10, calibre 26 de 3.05 mts. de longitud, de la línea USG.",pza,35.8775,PANEL-YESO
MATR-015,"Canal metálico 6.35, calibre 26 de 3.05 mts. de longitud, de la línea USG.",pza,42.8722,PANEL-YESO
MATR-019,"Canal listón de calibre 26 de 3.05 mts. de largo, de la línea USG.",pza,37.7081,PANEL-YESO
MATR-020,"Canaleta de carga 4.10, calibre 22 de 3.05 mts. de longitud, de la línea USG.",pza,33.8096,PANEL-YESO
MATR-041,"Redimix compuesto multiusos en cubeta de 6.0 kg, de la línea USG.",cb,72.0036,PANEL-YESO
MATR-047,"Perfacinta cinta de refuerzo para juntas en tablero de yeso, de la línea USG.",roll,23.3345,PANEL-YESO
MATR-049,"Easy sand 45 compuesto de 8.1 kg secado controlado para el tratamiento de juntas en tableros de yeso, de la línea USG.",sac,176.2348,PANEL-YESO
MATR-057,"Tornillo autoroscable tipo S, BH S de 1"" para tablaroca y para metal calibre 26, de la línea USG.",kg,59.5284,PANEL-YESO
MATR-060,"Tornillo tipo tek broca 1"" para tablaroca y para metal calibre 14, de la línea USG.",kg,83.2245,PANEL-YESO
MATR-080,Plafón astral texturizado de 0.61 x 122 cms. espesor de 9.6 mm. orilla de cuadrada.,pza,34.9057,PANEL-YESO
MATR-081,Plafón clean room auratone de 0.61 x 1.22 cms. espesor de 12.7 mm. de orilla cuadrada.,caj,1682.4683,PANEL-YESO
MATR-082,"Plafón eclipse auratone antimicrobial de 0.61 x 0.61cms, espesor de 12.7 mm. orilla de fine line.",caj,1039.6565,PANEL-YESO
MATR-084,Plafón fissured acoustone de 0.61 x 0.61 cms. espesor de 12.7 mm. orilla de línea de sombra.,caj,635.7945,PANEL-YESO
MATR-100,"Larguero en ""T"" Armstrong de 3.66 mts. de largo (principal).",pza,57.2684,PANEL-YESO
MATR-102,"Larguero en ""T"" Armstrong de 0.61 mts. de largo (conector).",pza,10.3056,PANEL-YESO
ROCA-301,Adocreto cruz tabasco 25X22 rojo de 8cm de peralte con resistencia de 300kg/cm3 marca Rocacero.,m2,452.08,ADOQUINES
ROCA-303,Adocreto cruz tabasco 25X22 cafe de 8cm de peralte con resistencia de 300kg/cm3 marca Rocacero.,m2,147.1486,ADOQUINES
ROCA-304,Adocreto cruz tabasco 25X22 gris de 8cm de peralte con resistencia de 250kg/cm3 marca Rocacero.,m2,88.931,ADOQUINES
ROCA-305,Adocreto cruz tabasco 25X22 rojo de 8cm de peralte con resistencia de 250kg/cm3 marca Rocacero.,m2,104.4346,ADOQUINES
ROCA-309,Adocreto hexagonal 27X24 gris de 8cm de peralte con resistencia de 300kg/cm3 marca Rocacero.,m2,98.8185,ADOQUINES
ROCA-315,Adocreto hexagonal 27X24 rojo de 8cm de peralte con resistencia de 250kg/cm3 marca Rocacero.,m2,104.4346,ADOQUINES
ROCA-319,Adocreto cuadrado 20x20 gris de 8cm de peralte con resistencia de 300kg/cm3 marca Rocacero.,m2,98.8185,ADOQUINES
ROCA-320,Adocreto cuadrado 20x20 rojo de 8cm de peralte con resistencia de 300kg/cm3 marca Rocacero.,m2,115.2826,ADOQUINES
ROCA-323,Adocreto cuadrado 20x20 rojo de 8cm de peralte con resistencia de 250kg/cm3 marca Rocacero.,m2,104.4346,ADOQUINES
MIFE-213,Acritón extra rápido 5 años rojo en cubeta de 19 lts. marca Fester.,cb,2794.65,IMPERMEABILIZANTES
MIFE-214,Acritón extra rápido 7 años blanco en cubeta de 19 lts. marca Fester.,cb,3288.48,IMPERMEABILIZANTES
MFIB-006R,"Aero uniplas SBS 4.0 PA, poliéster arenado de 4.0 mm. impermeabilizante prefábricado con ventilación antibolsas de aire a base de bitumen modificado SBS soldable con soplete, alto desempeño plus.",roll,2440.7,IMPERMEABILIZANTES
MFIB-011R,"Aero uniplas APP plus 4.5 PG, poliéster rojo granulado de 4.5 mm. impermeabilizante prefábricado.",roll,2719.51,IMPERMEABILIZANTES
MFIB-076,Guardquim RA 26 epóxico catalizador altos sólidos blanco prsentación en cubeta de 18 lt recubrimiento anticorrosivo especial.,cb,3559.5,IMPERMEABILIZANTES
MFIB-113,"Elastobit RH, alto desempeño, presentación en cubeta de 19 lts.",cb,1240.0959,IMPERMEABILIZANTES
RECO-147,"Impermeabilizante prefábricado 3.0 mm. fibra de vidrio, modificado con S.B.S. (1.00 x 10.00 mts) top roll.",roll,935.075,IMPERMEABILIZANTES
RECO-149,"Impermeabilizante prefábricado 3.5 mm. fibra de vidrio, modificado con SBS acabado granulado (1.00 x 10.00 mts).",roll,1224.92,IMPERMEABILIZANTES
MIFE-208,Festermip 10 app ps 4.0 gravilla blanca en rollo de 1.00 m de ancho x 10.00 mts. de largo marca Fester.,roll,3108.99,IMPERMEABILIZANTES
MIFE-210,Festermip 12 sbs ps 4.5 gravilla terracota en rollo de 1.00 m de ancho x 10.00 mts. de largo marca Fester,roll,3108.99,IMPERMEABILIZANTES
MIFE-212,Festermip 15 app ps 4.5 gravilla terracota en rollo de 1.00 m de ancho x 10.00 mts. de largo marca Fester,roll,3387.06,IMPERMEABILIZANTES
MIFE-092,Microseal 2F cubeta de 19 lt.,cb,1622.85,IMPERMEABILIZANTES
MIFE-106,"Xypex concentrado blanco, en cubeta de 25 kg.",cb,8033.81,IMPERMEABILIZANTES
CMC-00010,"Celotex placa de 1.22 x 1.22 mts. de 12 mm (1/2"") de espesor.",pza,478.77,JUNTAS CONSTRUCTIVAS
MIFE-005,"Banda flexible pvc ojillada 6"" de 25 mts. el rollo.",roll,6842.01,JUNTAS CONSTRUCTIVAS
MIFE-006,"Banda flexible pvc ojillada 7.5"" de 25 mts. el rollo.",roll,8068.68,JUNTAS CONSTRUCTIVAS
MIFE-007,"Banda flexible pvc ojillada 9"" de 25 mts. el rollo.",roll,11084.67,JUNTAS CONSTRUCTIVAS
MFIB-115,"Banda pvc blanca ancho 30 cms. (12""), alto desempeño, presentación en rollo de 25 mts.",roll,4522.1436,JUNTAS CONSTRUCTIVAS
MFIB-116,"Banda pvc blanca ancho 22 cms. (9""), alto desempeño, presentación en rollo de 25 mts.",roll,11084.75,JUNTAS CONSTRUCTIVAS
MFIB-117,"Banda pvc blanca ancho 20 cms. (7.5""), alto desempeño, presentación en rollo de 25 mts.",roll,8068.75,JUNTAS CONSTRUCTIVAS
MFIB-118,"Banda pvc blanca ancho 15 cms. (6""), alto desempeño, presentación en rollo de 25 mts.",roll,6842.25,JUNTAS CONSTRUCTIVAS
MFIB-119,"Banda pvc ojillada blanca ancho 30 cms. (12""), alto desempeño, presentación en rollo de 25 mts.",roll,5685.65,JUNTAS CONSTRUCTIVAS
MSAL-163,"Tubo de concreto simple de 10 cms. de diámetro x 0.85 m de albañal (cumple con la norma C-9 vigente, precio en fábrica).",pza,57.79,TUBERÍA DE CONCRETO
MSAL-164,"Tubo de concreto simple de 10 cms. de diámetro x 1.07 m de albañal (cumple con la norma C-9 vigente, precio en fábrica).",pza,106.69,TUBERÍA DE CONCRETO
MSAL-165,"Tubo de concreto simple de 15 cms. de diámetro x 0.85 m de albañal (cumple con la norma C-9 vigente, precio en fábrica).",pza,182.24,TUBERÍA DE CONCRETO
MSAL-166,"Tubo de concreto simple de 15 cms. de diámetro x 1.07 m de albañal (cumple con la norma C-9 vigente, precio en fábrica).",pza,27.12,TUBERÍA DE CONCRETO
MSAL-167,"Tubo de concreto simple de 20 cms. de diámetro x 1.07 m de albañal (cumple con la norma C-9 vigente, precio en fábrica).",pza,248.91,TUBERÍA DE CONCRETO
MSAL-168,"Tubo de concreto simple de 25 cms. de diámetro x 1.07 m de albañal (cumple con la norma C-9 vigente, precio en fábrica).",pza,453.1,TUBERÍA DE CONCRETO
PLAS-007,Cisterna de 2800 lts equipada marca Rotoplas.,pza,9486,DEPÓSITOS
PRMA-009,"Cisterna de 10,000 lts eqipada marca Rotoplas.",pza,37665,DEPÓSITOS
PLAS-004,"Tinaco tricapa vertical 1100 lt. con accesorios, Rotoplas.",pza,3292.2,DEPÓSITOS
PLAS-006,"Tinaco  tricapa vertical 2500 lt. con accesorios, Rotoplas.",pza,6996.39,DEPÓSITOS
CMC-24640,"Fosa séptica 9000 lt. (180 pers), Rotoplas.",pza,64077,DEPÓSITOS
CMC-24650,"Fosaplas 2100 lt. (2 módulos), Rotoplas.",pza,14043,DEPÓSITOS
CMC-24040,"Tanque estacionario 1000 lt. reg/tapa Tatsa, Tanques de Acero Trinity.",pza,2844.1648,DEPÓSITOS
CMC-24070,"Tanque estacionario 2800 lt. reg/rapa Tatsa, Tanques de Acero Trinity.",pza,5457.3576,DEPÓSITOS
CMC-00026,Tubo fofo Tisa de 250 x 1.,pza,2028.3048,INST. SANITARIA
CMC-00039,Tubo fofo Tisa de 100 x 1.,pza,302.3428,INST. SANITARIA
CMC-00040,Tubo fofo Tisa de 150 x 1.,pza,1921.35,INST. SANITARIA
MPPL-0932,"Tubo pvc alcant. 4"" serie 20 - E=3.6mm - tramo 6 mts.",ml,141.36,INST. SANITARIA
MPPL-0934,"Tubo pvc alcant. 6"" serie 20 - E=3.6mm - tramo 6 mts.",ml,851.88,INST. SANITARIA
CMC-00434,"Adaptador sanitario a galvanizado 75, tubos flex (Sanit Anger).",pza,21.5491,INST. SANITARIA
CMC-00435,"Adaptador sanitario a galvanizado 100, tubos flex (Sanit Anger).",pza,32.2615,INST. SANITARIA
CMC-00496,Casquillo hierro cromado fregadero.,pza,9.5146,INST. SANITARIA
CMC-00499,Casquillo céspol latón.,pza,70.1278,INST. SANITARIA
CMC-00508,Céspol lavabo latón.,pza,0,INST. SANITARIA
CMC-00514,Céspol y contra s/rebosadero sat.,pza,889.16,INST. SANITARIA
CMC-00546,Céspol rugo lavabo.,pza,158.0418,INST. SANITARIA
CMC-00561,Céspol lavabo flexible.,pza,72.66,INST. SANITARIA
CMC-00565,Céspol fregadero flexible eco.,pza,17.37,INST. SANITARIA
CMC-00601,Codo fofo de 45° x 150 mm marca Tisa.,pza,283.291,INST. SANITARIA
CMC-00605,Codo fofo de 90° x 100 mm marca Tisa.,pza,198.9139,INST. SANITARIA
CMC-00606,Codo fofo de 90° x 150 mm marca Tisa.,pza,361.6678,INST. SANITARIA
CMC-59151,"Codo 45° x 100 mm (4"") PPR termofusión marca Tubo plus.",pza,237.5034,INST. SANITARIA
CMC-59152,"Codo 90° x 100 mm (4"") PPR termofusión marca Tubo plus.",pza,359.5999,INST. SANITARIA
MPPL-4011,"Tubo pvc sanitario 2"", norma - cementar - tramo de 6 mts.",ml,160.78,INST. SANITARIA
MPPL-4012,"Tubo pvc sanitario 3"", norma - cementar - tramo de 6 mts.",ml,256.68,INST. SANITARIA
MPPL-4013,"Tubo pvc sanitario 4"", norma - cementar - tramo de 6 mts.",ml,337.59,INST. SANITARIA
MPPL-4014,"Tubo pvc sanitario 6"", norma - cementar - tramo de 6 mts.",ml,95.1234,INST. SANITARIA
MPPL-4020,Cople - pvc sanitario - cementar (Hh) 2''.,pza,7.34,INST. SANITARIA
MPPL-4021,Cople - pvc sanitario - cementar (Hh) 3''.,pza,14.79,INST. SANITARIA
MPPL-4022,Cople - pvc sanitario - cementar (Hh) 4''.,pza,16.15,INST. SANITARIA
MPPL-4023,Cople - pvc sanitario - cementar (Hh) 6''.,pza,55.75,INST. SANITARIA
MPPL-4043,Codo 45º - pvc sanitario - cementar (Hh) 2''.,pza,7.34,INST. SANITARIA
MPPL-4044,Codo 45º - pvc sanitario - cementar (Hh) 3''.,pza,15.62,INST. SANITARIA
MPPL-4045,Codo 45º - pvc sanitario - cementar (Hh) 4''.,pza,30.56,INST. SANITARIA
MPPL-4046,Codo 45º - pvc sanitario - cementar (Hh) 6''.,pza,88.01,INST. SANITARIA
CMC-00771,Codo 87° pvc sanitario a cementar (Hh) 2'' marca Duralón,pza,7.34,INST. SANITARIA
CMC-00772,Codo 87° pvc sanitario a cementar (Hh) 3'' marca Duralón,pza,22.01,INST. SANITARIA
CMC-00773,Codo 87° pvc sanitario a cementar (Hh) 4'' marca Duralón,pza,34.23,INST. SANITARIA
CMC-00774,Codo 87° pvc sanitario a cementar (Hh) 6'' marca Duralón,pza,88.01,INST. SANITARIA
VIBR-313,"Tubería de presión de fibrocemento de 150 mm. (6"") de diámetro de clase A-5, incluye coples y anillos.",ml,218.09,INST. SANITARIA
VIBR-316,"Tubería de presión de fibrocemento de 300 mm. (12"") de diámetro de clase A-5, incluye coples y anillos.",ml,447.48,INST. SANITARIA
VIBR-323,"Tubería de presión de fibrocemento de 900 mm (36"") de diámetro de clase A-5, incluye coples y anillos.",ml,3453.28,INST. SANITARIA
VIBR-379,Adaptador para tubería de alcantarillado de fibrocemento de 150 mm.,pza,65.54,INST. SANITARIA
VIBR-382,Adaptador para tubería de alcantarillado de fibrocemento de 300 mm.,pza,179.67,INST. SANITARIA
VIBR-389,Adaptador para tubería de alcantarillado de fibrocemento de 900 mm.,pza,1601.21,INST. SANITARIA
CMC-00060,Tubo cpvc rd-11 13 x 3.05 mts.,tmo,35.0978,INST. HIDRÁULICA
CMC-00061,Tubo cpvc rd-11 19 x 3.05 mts.,tmo,66.2971,INST. HIDRÁULICA
CMC-00065,Tubo cpvc rd-11 51 x 3.05 mts.,tmo,521.269,INST. HIDRÁULICA
CMC-00066,Tubo cpvc rd-11 13 x 6.10 mts.,tmo,122.07,INST. HIDRÁULICA
CMC-00067,Tubo cpvc rd-11 19 x 6.10 mts.,tmo,175.64,INST. HIDRÁULICA
CMC-00078,"Tubo cobre tipo ""M"" de 10 mm.",tmo,634.23,INST. HIDRÁULICA
CMC-00079,"Tubo cobre tipo ""M"" de 13 mm.",tmo,765.63,INST. HIDRÁULICA
CMC-00080,"Tubo cobre tipo ""M"" de 19 mm.",tmo,1251.2,INST. HIDRÁULICA
CMC-00081,"Tubo cobre tipo ""M"" de 25 mm.",tmo,1771.93,INST. HIDRÁULICA
CMC-00082,"Tubo cobre tipo ""M"" de 32 mm.",tmo,2909.53,INST. HIDRÁULICA
CMC-00083,"Tubo cobre tipo ""M"" de 38 mm.",tmo,3987.03,INST. HIDRÁULICA
CMC-00084,"Tubo cobre tipo ""M"" de 75 mm.",tmo,6257.58,INST. HIDRÁULICA
CMC-00085,"Tubo cobre tipo ""M"" de 51 mm.",tmo,11825.81,INST. HIDRÁULICA
CMC-00086,"Tubo cobre tipo ""M"" de 64 mm.",tmo,15721.36,INST. HIDRÁULICA
CMC-00087,"Tubo cobre tipo ""M"" de 100 mm.",tmo,26578.51,INST. HIDRÁULICA
CMC-00122,Tubo tubflex agua de 19.,ml,27.11,INST. HIDRÁULICA
CMC-00123,Tubo tubflex agua de 25.,ml,42.78,INST. HIDRÁULICA
CMC-00124,Tubo hidráulico de 13 rd-13.5.,tmo,66.19,INST. HIDRÁULICA
CMC-00125,Tubo hidráulico de 19 rd-13.5.,tmo,92.52,INST. HIDRÁULICA
CMC-00126,Tubo hidráulico de 25 rd-13.5.,tmo,89.1683,INST. HIDRÁULICA
CMC-00127,Tubo hidráulico de 32 rd-26.,tmo,160.5,INST. HIDRÁULICA
CMC-00128,Tubo hidráulico de 38 rd-26.,tmo,221.35,INST. HIDRÁULICA
CMC-00129,Tubo hidráulico de 50 rd-26.,tmo,278.92,INST. HIDRÁULICA
CMC-00130,Tubo hidráulico de 60 rd-26.,tmo,412.4,INST. HIDRÁULICA
CMC-00131,Tubo hidráulico de 75 rd-26.,tmo,609.64,INST. HIDRÁULICA
CMC-00132,Tubo hidráulico de 100 rd-26.,tmo,1014.04,INST. HIDRÁULICA
CMC-00133,Tubo hidráulico de 150 rd-26.,tmo,1016.2881,INST. HIDRÁULICA
CMC-00275,Tubo galvanizado c-40 6.40 c/r 13.,tmo,485.68,INST. HIDRÁULICA
CMC-00276,Tubo galvanizado c-40 6.40 c/r 19.,tmo,645.15,INST. HIDRÁULICA
CMC-00277,Tubo galvanizado c-40 6.40 c/r 25.,tmo,2001.25,INST. HIDRÁULICA
CMC-00278,Tubo galvanizado c-40 6.40 c/r 32.,tmo,1246.8,INST. HIDRÁULICA
CMC-00279,Tubo galvanizado c-40 6.40 c/r 38.,tmo,1496.74,INST. HIDRÁULICA
CMC-00280,Tubo galvanizado c-40 6.40 c/r 51.,tmo,2001.25,INST. HIDRÁULICA
CMC-00281,Tubo galvanizado c-40 6.40 c/r 64.,tmo,3178.44,INST. HIDRÁULICA
CMC-00282,Tubo galvanizado c-40 6.40 c/r 75.,tmo,4179.06,INST. HIDRÁULICA
CMC-00283,Tubo galvanizado c-40 6.40 c/r 100.,tmo,5914.57,INST. HIDRÁULICA
CMC-00413,"Adaptador hidráulico hembra 13, tubo flex (hidr cementar).",pza,5.6,INST. HIDRÁULICA
CMC-00414,"Adaptador hidráulico hembra 19, tubo flex (hidr cementar).",pza,7.12,INST. HIDRÁULICA
CMC-00415,"Adaptador hidráulico hembra 25, tubo flex (hidr cementar).",pza,18.66,INST. HIDRÁULICA
CMC-00416,"Adaptador hidráulico hembra 32, tubo flex (hidr cementar).",pza,17.49,INST. HIDRÁULICA
CMC-00422,"Adaptador hidráulico macho 13, tubo flex (hidr cementar).",pza,4.44,INST. HIDRÁULICA
CMC-00423,"Adaptador hidráulico macho 19, tubo flex (hidr cementar).",pza,4.92,INST. HIDRÁULICA
CMC-00424,"Adaptador hidráulico macho 25, tubo flex (hidr cementar).",pza,8.98,INST. HIDRÁULICA
CMC-00425,"Adaptador hidráulico macho 32, tubo flex (hidr cementar).",pza,10.86,INST. HIDRÁULICA
MHPV-346,Reducción bushing hidráulica cédula 40 de pvc a cementar de 100 X 50 mm. sistema inglés.,pza,122.34,INST. HIDRÁULICA
MHPV-347,Reducción bushing hidráulica cédula 40 de pvc a cementar de 100 X 60 mm. sistema inglés.,pza,122.34,INST. HIDRÁULICA
MHPV-348,Reducción bushing hidráulica cédula 40 de pvc a cementar de 100 X 75 mm. sistema inglés.,pza,122.34,INST. HIDRÁULICA
CMC-00572,Codo c/c de 19 x 90 Urrea.,pza,23.4136,INST. HIDRÁULICA
CMC-00576,Codo c/c de 51 x 90 Urrea.,pza,144.6626,INST. HIDRÁULICA
CMC-00581,Codo c/c de 19 x 45 Urrea.,pza,22.5774,INST. HIDRÁULICA
CMC-00583,Codo c/c de 32 x 45 Urrea.,pza,61.0426,INST. HIDRÁULICA
CMC-02631,Llave globo de 10 fig. 58.,pza,910.75,INST. HIDRÁULICA
CMC-02633,Llave globo de 19 fig. 58.,pza,1190.78,INST. HIDRÁULICA
CMC-02634,Llave globo de 25 fig. 58.,pza,1621.83,INST. HIDRÁULICA
CMC-02635,Llave globo de 32 fig. 58.,pza,2237.77,INST. HIDRÁULICA
CMC-02640,Llave globo de 100 fig. 58.,pza,18985.86,INST. HIDRÁULICA
CMC-02646,Llave globo de 51 fig. 95.,pza,2273.6278,INST. HIDRÁULICA
CMC-02653,Llave globo de fig. 120-03.,pza,87.123,INST. HIDRÁULICA
CMC-02659,Llave globo de fig. 75-t de 13.,pza,132.9558,INST. HIDRÁULICA
CMC-02665,Llave globo de 13 fig. 625.,pza,115.3956,INST. HIDRÁULICA
CMC-02685,Llave inserción fig.40-f 19.,pza,207.3776,INST. HIDRÁULICA
CMC-02688,Llave inserción de 13 fig. 40 pad.,pza,136.3006,INST. HIDRÁULICA
CMC-02692,Llave inserción de 19 fig. 40 fn.,pza,186.4726,INST. HIDRÁULICA
CMC-02707,Llave macho de 13 fig. 14.,pza,163.059,INST. HIDRÁULICA
CMC-02712,Llave macho de 64 fig. 14.,pza,767.5864,INST. HIDRÁULICA
CMC-02713,Llave macho de 75 fig. 14.,pza,3063.8368,INST. HIDRÁULICA
TUMO-0317,Tee reducida de 25 mm. conexión de cobre.,pza,136.8,INST. HIDRÁULICA
TUMO-0322,Tee roscado cent. de 13 mm. conexión de cobre.,pza,104.54,INST. HIDRÁULICA
TUMO-0326,Tee roscado cent. de 38 mm. conexión de cobre.,pza,784.62,INST. HIDRÁULICA
TUMO-0330,"Tee roscado lado, de 13 mm. conexión de cobre.",pza,103.14,INST. HIDRÁULICA
TUMO-0331,"Tee roscado lado, de 25 mm. conexión de cobre.",pza,618.05,INST. HIDRÁULICA
TUMO-0410,Yee de 38 mm. conexión de cobre.,pza,984.3,INST. HIDRÁULICA
TUMO-0476,Tubo de cobre flexible U.G. Nacobre de 13 mm. (15.24 mts).,pza,230.54,INST. HIDRÁULICA
TUMO-0494,"Codo 90º de 25 mm. galvanizada, conexión de hierro maleable.",pza,19.63,INST. HIDRÁULICA
TUMO-0496,"Codo 90º de 38 mm. galvanizada, conexión de hierro maleable.",pza,39.24,INST. HIDRÁULICA
CMC-12959,"Calentador de agua tipo depósito G-20 para gas Lp, marca Calorex.",pza,6558.25,INST. HIDRÁULICA
CMC-12961,"Calentador de agua tipo depósito G-40 para gas Lp, marca Calorex.",pza,8065.79,INST. HIDRÁULICA
CMC-12962,"Calentador de agua tipo depósito G-60 para gas Lp, marca Calorex.",pza,10923.89,INST. HIDRÁULICA
CMC-13036,"Calentador de agua instantáneo L16XIM para gas Lp línea extreme, marca Calorex.",pza,5525.14,INST. HIDRÁULICA
CMC-12999,"Calentador de agua de paso 9 lts. gas natural, marca Calorex.",pza,3933.14,INST. HIDRÁULICA
CMC-13000,"Calentador de agua de paso 9 lts. gas natural, marca Calorex.",pza,3933.14,INST. HIDRÁULICA
ENER-01,Calentador solar modelo EN G-118 por gravedad con un tanque de almacenamiento de 100 lts capacidad de colectores de 18 lts para 2 a 3 personas marca Energisol,pza,,INST. HIDRÁULICA
ENER-04,Calentador solar modelo EN G-241 por gravedad con un tanque de almacenamiento de 205 lts capacidad de colectores de 36 lts para 6 personas marca Energisol,pza,,INST. HIDRÁULICA
ENER-10,Calentador solar modelo EN HP-180 por presión colector heat pipe con un tanque de almacenamiento de 180 lts para 4 personas marca Energisol,pza,,INST. HIDRÁULICA
ENER-14,Calentador solar modelo EN HS-330 por presión colector de serpentin de cobre con un tanque de almacenamiento de 330 lts para 8 personas marca Energisol,pza,,INST. HIDRÁULICA
ENER-16,Calentador solar modelo EN H-1053 por presión con un tanque de almacenamiento de 753 lts capacidad de colectores de 300 lts para 24 personas marca Energisol,pza,,INST. HIDRÁULICA
MHSVG-0009,"Tubo de cobre tipo ""L"" de 10 mm. de diámetro, tramo de 6.10 mts. marca Nacobre.",tmo,881.6,INST. DE GAS
