Clave,Descripción,Unidad,Precio,Familia
ACES-015,"Castillo prefabricado de 12 x 12 -4 lados de alambrón de 6.35 mm de diámetro, tramo de 6.00 ml.",ml,77.97,ACERO
SOLD-002,"Soldadura 6013-3 (1/8"").",kg,155.21,ACERO
SOLD-003,"Soldadura 6013-2 (3/32"").",kg,167.39,ACERO
SOLD-004,"Soldadura 7018-3 (1/8"").",kg,163.98,ACERO
CRUZA-001,"Concreto premezclado no bombeable F´c=100 Kg/cm2, normal clase II, 20 mm. revenimiento hasta 10 +- 2.5 cms. Concretos Cruz Azul.",m3,2134.35,CONCRETO PREMEZCLADO
CRUZA-003,"Concreto premezclado no bombeable F´c=200 Kg/cm2, normal clase II, 20 mm. revenimiento hasta 10 +- 2.5 cms. Concretos Cruz Azul.",m3,2340.81,CONCRETO PREMEZCLADO
CRUZA-004,"Concreto premezclado no bombeable F´c=250 Kg/cm2, normal clase II, 20 mm. revenimiento hasta 10 +- 2.5 cms. Concretos Cruz Azul.",m3,2431.02,CONCRETO PREMEZCLADO
CRUZA-005,"Concreto premezclado no bombeable F´c=300 Kg/cm2, normal clase II, 20 mm. revenimiento hasta 10 +- 2.5 cms. Concretos Cruz Azul.",m3,1917.61,CONCRETO PREMEZCLADO
CRUZA-006,"Concreto premezclado no bombeable F´c=350 Kg/cm2, normal clase II, 20 mm. revenimiento hasta 10 +- 2.5 cms. Concretos Cruz Azul.",m3,2061.12,CONCRETO PREMEZCLADO
CRUZA-007,"Concreto premezclado no bombeable F´c=400 Kg/cm2, normal clase II, 20 mm. revenimiento hasta 10 +- 2.5 cms. Concretos Cruz Azul.",m3,2215.93,CONCRETO PREMEZCLADO
CRUZA-013,"Concreto premezclado no bombeable F´c=400 Kg/cm2, rápido clase II, 20 mm. revenimiento hasta 10 +- 2.5 cms. Concretos Cruz Azul.",m3,2382.04,CONCRETO PREMEZCLADO
CRUZA-018A,"Concreto premezclado no bombeable F´c=400 Kg/cm2, retardante clase II, 20 mm. revenimiento hasta 10 +- 2.5 cms. Concretos Cruz Azul.",m3,2490.52,CONCRETO PREMEZCLADO
CRUZA-019,"Concreto premezclado no bombeable F´c=250 Kg/cm2, normal clase I, 20 mm. revenimiento hasta 10 +- 2.5 cms. Concretos Cruz Azul.",m3,2557.5,CONCRETO PREMEZCLADO
