Clave Cuadrilla,Descripción Cuadrilla,Sección,Descripción,Unidad,Cantidad
00-M0013,Cuadrilla 13 (Oficial carpintero de banco + ayudante),MANO DE OBRA,Ayudante oficial,jor,1.000000
00-M0013,Cuadrilla 13 (Oficial carpintero de banco + ayudante),MANO DE OBRA,Cabo de oficios,jor,0.100000
00-M0013,Cuadrilla 13 (Oficial carpintero de banco + ayudante),EQUIPO Y HERRAMIENTA,Herramienta de mano,%mo,0.030000
00-M0013,Cuadrilla 13 (Oficial carpintero de banco + ayudante),EQUIPO Y HERRAMIENTA,Equipo de seguridad,%mo,0.020000
00-M0014,Cuadrilla 14 (Oficial pintor + ayudante),MANO DE OBRA,Oficial pintor,jor,1.000000
00-M0014,Cuadrilla 14 (Oficial pintor + ayudante),MANO DE OBRA,Ayudante oficial,jor,1.000000
00-M0014,Cuadrilla 14 (Oficial pintor + ayudante),MANO DE OBRA,Cabo de oficios,jor,0.100000
00-M0014,Cuadrilla 14 (Oficial pintor + ayudante),EQUIPO Y HERRAMIENTA,Equipo de seguridad,%mo,0.020000
00-M0014,Cuadrilla 14 (Oficial pintor + ayudante),EQUIPO Y HERRAMIENTA,Herramienta de mano,%mo,0.030000
00-M0016,Cuadrilla 16 (Tubero + ayudante de instalación),MANO DE OBRA,Tubero,jor,1.000000
00-M0016,Cuadrilla 16 (Tubero + ayudante de instalación),MANO DE OBRA,Ayudante de instalación,jor,1.000000
00-M0016,Cuadrilla 16 (Tubero + ayudante de instalación),MANO DE OBRA,Cabo de oficios,jor,0.100000
00-M0016,Cuadrilla 16 (Tubero + ayudante de instalación),EQUIPO Y HERRAMIENTA,Herramienta de mano,%mo,0.030000
00-M0016,Cuadrilla 16 (Tubero + ayudante de instalación),EQUIPO Y HERRAMIENTA,Equipo de seguridad,%mo,0.020000
00-M0017,Cuadrilla 17 (Operador de equipo ligero),MANO DE OBRA,Operador de equipo ligero,jor,1.000000
00-M0017,Cuadrilla 17 (Operador de equipo ligero),MANO DE OBRA,Cabo de oficios,jor,0.050000
00-M0017,Cuadrilla 17 (Operador de equipo ligero),EQUIPO Y HERRAMIENTA,Herramienta de mano,%mo,0.030000
00-M0017,Cuadrilla 17 (Operador de equipo ligero),EQUIPO Y HERRAMIENTA,Equipo de seguridad,%mo,0.020000
00-M0018,Cuadrilla 18 (Operador de Vehículo con Grúa),MANO DE OBRA,Operador de vehículo con grúa,jor,1.000000
00-M0018,Cuadrilla 18 (Operador de Vehículo con Grúa),MANO DE OBRA,Cabo de oficios,jor,0.050000
00-M0018,Cuadrilla 18 (Operador de Vehículo con Grúa),EQUIPO Y HERRAMIENTA,Herramienta de mano,%mo,0.030000
00-M0018,Cuadrilla 18 (Operador de Vehículo con Grúa),EQUIPO Y HERRAMIENTA,Equipo de seguridad,%mo,0.020000
00-M0019,Cuadrilla 19 (Operador de camión + ayudante),MANO DE OBRA,Operador de camión,jor,1.000000
00-M0019,Cuadrilla 19 (Operador de camión + ayudante),MANO DE OBRA,Ayudante oficial,jor,1.000000
00-M0019,Cuadrilla 19 (Operador de camión + ayudante),MANO DE OBRA,Cabo de oficios,jor,0.100000
00-M0019,Cuadrilla 19 (Operador de camión + ayudante),EQUIPO Y HERRAMIENTA,Herramienta de mano,%mo,0.030000
00-M0019,Cuadrilla 19 (Operador de camión + ayudante),EQUIPO Y HERRAMIENTA,Equipo de seguridad,%mo,0.020000
00-M0020,Cuadrilla 20 (Operador de cargador + ayudante),MANO DE OBRA,Operador de cargador,jor,1.000000
00-M0020,Cuadrilla 20 (Operador de cargador + ayudante),MANO DE OBRA,Ayudante oficial,jor,1.000000
00-M0020,Cuadrilla 20 (Operador de cargador + ayudante),MANO DE OBRA,Cabo de oficios,jor,0.100000
00-M0020,Cuadrilla 20 (Operador de cargador + ayudante),EQUIPO Y HERRAMIENTA,Herramienta de mano,%mo,0.030000
