Descripción,Costo
"Codo Fo.Fo. de 90° x 10""(254 mm) modelo L454","$3,625.20"
"Codo fofo 45, 22 y 11 de 51 mm ( 2"")",$120.20
Coladera Pluvial con boca de tormenta Fo.Fo. de 75 kg,"$3,434.00"
"Coladera Tipo plato de hierro gris con rejilla redonda de acero inoxidable modelo UP 660, diametro de 31.75cms y rejilla redonda de 23.31 cns, con conexión roscada para 4""(100mm)","$1,401.66"
"Compuesto RD+Mix Clásico, de 22 kg",$260.60
"Concreto asfáltico planta agregado de 3/4"" a finos cemento asfáltico AC-20","$2,679.07"
Concreto Pmz fc=200 kg/cm2 Rev. 14 - 28,"$2,043.96"
"Concreto Pmz fc=250 kg/cm2 Rev. 14 - 28 Concreto premezclado ""B"", f'c 150 kg/cm² resist. Normal tma 20 mm","$2,531.74"
,"$1,921.22"
"Concreto premezclado ""B"", f'c 200 kg/cm² resist. Normal tma 20 mm","$2,016.21"
"Contramarco doble canal 6"" x 1.80","$7,634.00"
"Contramarco doble canal 6"" x 2.10","$8,337.00"
"Contramarco sencillo centrado, canal de 6""x 1.40","$5,089.00"
"Contramarco sencillo centrado, canal de 6""x 1.80","$6,050.00"
"Contramarco sencillo centrado, canal de 6""x 2.10","$6,749.00"
"Cristal flotado de 4 mm de espesor, de 2.30x2.60 m, tipo Claro",$172.94
"Cruz Fo.Fo. Bridada de 10"" x 10"" (250x250 mm)","$22,940.01"
"Cruz Fo.Fo. Bridada de 10"" x 2-1/2"" (250x63 mm)","$14,756.22"
"Cruz Fo.Fo. Bridada de 10"" x 3"" (250x76 mm)","$15,404.79"
"Cruz Fo.Fo. Bridada de 10"" x 4"" (250x100 mm)","$16,313.76"
"Cruz Fo.Fo. Bridada de 10"" x 6"" (250x150 mm)","$17,759.05"
"Cruz Fo.Fo. Bridada de 10"" x 8"" (250x200 mm)","$18,919.63"
"Cruz Fo.Fo. Bridada de 2"" x 2"" (51x51 mm)","$1,933.05"
"Cruz Fo.Fo. Bridada de 2-1/2"" x 2"" (63x51 mm)","$2,319.53"
"Cruz Fo.Fo. Bridada de 2-1/2"" x 2-1/2"" (63x63 mm)","$2,664.92"
"Cruz Fo.Fo. Bridada de 3"" x 2"" (76x51 mm)","$2,802.10"
"Cruz Fo.Fo. Bridada de 3"" x 2-1/2"" (76x63 mm)","$2,945.17"
"Cruz Fo.Fo. Bridada de 3"" x 3"" (76x76 mm)","$3,515.71"
"Cruz Fo.Fo. Bridada de 4"" x 2"" (100x51 mm)","$4,046.28"
"Cruz Fo.Fo. Bridada de 4"" x 2-1/2"" (100x63 mm)","$4,347.54"
"Cruz Fo.Fo. Bridada de 4"" x 3"" (100x76 mm)","$4,746.92"
"Cruz Fo.Fo. Bridada de 4"" x 4"" (100x100 mm)","$5,387.67"
"Cruz Fo.Fo. Bridada de 6"" x 2"" (150x51 mm)","$5,921.16"
"Cruz Fo.Fo. Bridada de 6"" x 2-1/2"" (150x63 mm)","$6,396.13"
"Cruz Fo.Fo. Bridada de 6"" x 3"" (150x76 mm)","$6,730.87"
"Cruz Fo.Fo. Bridada de 6"" x 4"" (150x100 mm)","$7,913.22"
"Cruz Fo.Fo. Bridada de 6"" x 6"" (150x150 mm)","$8,722.59"
"Cruz Fo.Fo. Bridada de 8"" x 2-1/2"" (200x63 mm)","$9,800.64"
"Cruz Fo.Fo. Bridada de 8"" x 3"" (200x76 mm)","$9,946.85"
"Cruz Fo.Fo. Bridada de 8"" x 4"" (200x100 mm)","$10,476.67"
"Cruz Fo.Fo. Bridada de 8"" x 6"" (200x150 mm)","$11,660.97"
"Cruz Fo.Fo. Bridada de 8"" x 8"" (200x200 mm)","$13,356.61"
Detergente polvo de 1 kg,$41.00
Diesel,$20.72
"Electrodo revestido de 1/8"" de diámetro, 14"" de longitud, tipo Lincoln 46 E6013",$67.09
"Empaque de plomo 2"" (51 mm), 2mm de espesor",$64.01
"Empaque de plomo de 10"" (256 mm)",$451.28
"Empaque de plomo de 2-1/2"" (63 mm)",$75.87
"Empaque de plomo de 3"" (76 mm)",$93.45
"Empaque de plomo de 4"" (101 mm)",$126.88
"Empaque de plomo de 6"" (152 mm)",$156.55
"Empaque de plomo de 8"" (203 mm)",$303.78
"Emulsión asfáltica RR-2K, elaborada con AC-20 ó equivalente y materiales pétreos de granulometría 3/4"" (19 mm).",$11.67
"Entrada de servicio (mufa) tipo abrazadera de 1/2""(13 mm) modelo EH-1",$24.53
"Entrada de servicio (mufa) tipo abrazadera de 3/4""(19 mm) modelo EHC-2",$23.55
"Escalerilla, diseño 20-2. diseño 17 cm, separación 30 cm",$19.43
Escalon para pozo de visita ligero,$141.00
"Esferas de poliestireno expandido recubiertos con aditivo STC-STYRENCRET para un peso volumétrico seco de 1,450 kg/m3, bolsa de 200 lts",$1.96
"Esquinero metálico cal. 26, de 2.44",$31.15
"Estopa blanca, bolsa de 1 kg, clave EST0-1B",$50.00
"Extremidad Fo.Fo. bridada de 10""(256 mm)","$6,514.61"
"Extremidad Fo.Fo. bridada de 2""(51 mm) Extremidad Fo.Fo. bridada de 2-1/2""(63 mm)",$915.83
,"$1,197.04"
"Extremidad Fo.Fo. bridada de 3""(76 mm)","$1,635.36"
"Extremidad Fo.Fo. bridada de 4""(101 mm)","$1,932.96"
"Extremidad Fo.Fo. bridada de 6""(152 mm)","$2,855.10"
"Extremidad Fo.Fo. bridada de 8""(203 mm)","$4,423.83"
Fabrimalla de acero de 2 x 2 - 14/14.,$62.58
"Repelente incoloro para muros exteriores Fester Silicón, cubeta de 19 litros, marca Fester",$196.89
"Fierro estructural de 1"" x 1/8""",$24.22
Flete Mty-Mex (224 m2),"$29,740.48"
Flete Mty-Mex (280 m2),"$37,957.92"
"Foco de vapor de sodio de 150w, modelo Foco SHP-TS 150W E39",$194.47
"Foco de vapor de sodio de 250w, modelo Foco SODIO LU250W ED18 E39",$151.93
"Franela de algodón color gris, rollo de 50 m, clave FRA-50G",$13.62
Gas butano,$173.54
Gasolina Magna,$20.38
Grava cementada controlada,$283.49
"Grava de 1-1/2"" (38 mm)",$579.74
"Grava de 3/4"" (19 mm)",$383.33
Gravilla,$342.57
"Imprimador asfáltico-polimérico base agua para sistemas impermeables asfálticos Hidroprimer Plus WB, cubeta de 19 lts, marca Fester","$2,133.19"
"Impermeabilizante asfáltico base solvente Vaportite 550, cubeta de 19 lts, marca Fester","$2,346.55"
Juego de herrajes para puerta modelo 65 L 300,$163.23
"Juego de herrajes para ventana de 2"".",$61.60
"Juego de llaves individuales para lavabo modelo FIG 242, acabado cromado",$990.52
"Juego de manerales grandes “KING” acabado latón, modelo KG",$358.62
"Junta Gibault Fo.Fo. Completa de 10"" (256 mm) de diámetro","$2,109.84"
"Junta Gibault Fo.Fo. Completa de 2"" (51 mm) de diámetro Junta Gibault Fo.Fo. Completa de 2-1/2"" (63 mm) de diámetro",$363.80
,$396.94
"Junta Gibault Fo.Fo. Completa de 3"" (76 mm) de diámetro",$454.93
"Junta Gibault Fo.Fo. Completa de 4"" (101 mm) de diámetro",$736.20
"Junta Gibault Fo.Fo. Completa de 6"" (152 mm) de diámetro","$1,136.30"
"Junta Gibault Fo.Fo. Completa de 8"" (203 mm) de diámetro","$1,644.18"
