Descripción,Costo
"Tubo sanitario de PVC pared lisa de 50 mm (2"") tramo de 6",$27.98
"Válvula de compuerta de hierro fundido tipo OS&Y de 102 mm (4"") barrenado a bridas, con vástago ascendente, clase 125, figura W726F","$13,238.39"
"Válvula de compuerta de hierro fundido tipo OS&Y de 152 mm (6"") barrenado a bridas, con vástago ascendente, clase 125, figura W726F","$21,746.67"
"Válvula de compuerta de hierro fundido tipo OS&Y de 203 mm (8"") barrenado a bridas, con vástago ascendente, clase 125, figura W726F","$33,285.70"
"Válvula de compuerta de hierro fundido tipo OS&Y de 254 mm (10"") barrenado a bridas, con vástago ascendente, clase 125, figura W726F","$50,303.90"
"Válvula de compuerta de hierro fundido tipo OS&Y de 51 mm (2"") barrenado a bridas, con vástago ascendente, clase 125, figura W726F","$8,345.32"
"Válvula de compuerta de hierro fundido tipo OS&Y de 64 mm (2 1/2"") barrenado a bridas, con vástago ascendente, clase 125, figura W726F","$8,622.46"
"Válvula de compuerta de hierro fundido tipo OS&Y de 76 mm (3"") barrenado a bridas, con vástago ascendente, clase 125, figura W726F","$9,629.71"
"Válvula de retención de hierro fundido de 102 mm (4"") barrenado a bridas, Clase 125, figura W928F","$7,468.01"
"Válvula de retención de hierro fundido de 152 mm (6"") barrenado a bridas, Clase 125, figura W928F","$10,787.13"
"Válvula de retención de hierro fundido de 203 mm (8"") barrenado a bridas, Clase 125, figura W928F","$20,727.88"
"Válvula de retención de hierro fundido de 254 mm (10"") barrenado a bridas, Clase 125, figura W928F","$36,510.26"
"Válvula de retención de hierro fundido de 51 mm (2"") barrenado a bridas, Clase 125, figura W928F","$4,231.87"
"Válvula de retención de hierro fundido de 64 mm (2 1/2"") barrenado a bridas, Clase 125, figura W928F","$4,397.82"
"Válvula de retención de hierro fundido de 76 mm (3"") barrenado a bridas, Clase 125, figura W928F","$5,144.63"
"Varilla corrugada grado 60 de 5/16"", clave 2425",$31.28
"Varilla de acero corrugada, grado 42 del N° (3/8"") clave 30764","$18,575.00"
"Varilla de acero corrugada, grado 42 del N° 4 (1/2"") clave 30767","$18,575.00"
"Varilla de acero corrugada, grado 42 del N° 5 (5/8"") clave 30770",$18.58
"Varilla de acero corrugada, grado 42 del N° 8 (1"") clave 30776",$18.58
"Ventana corrediza de 0.60x0.60 m, perfil 1 1/2"", cristal claro de 3mm de espesor, modelo aLumi pro, color blanco",$788.79
"Ventana corrediza de 0.60x0.60 m, perfil 1 1/2"", cristal satinado de 3mm de espesor, modelo aLumi pro, color blanco",$788.79
"Ventana corrediza de 0.90x0.60 m, perfil 1 1/2"", cristal claro de 3mm de espesor, modelo aLumi pro, color blanco",$840.52
"Ventana corrediza de 0.90x0.60 m, perfil 1 1/2"", cristal satinado de 3mm de espesor, modelo aLumi pro, color blanco",$840.52
"Ventana corrediza de 0.90x1.20 m, perfil 1 1/2"", cristal claro de 3mm de espesor, modelo aLumi pro, color blanco","$1,228.45"
"Ventana corrediza de 0.90x1.20 m, perfil 1 1/2"", cristal satinado de 3mm de espesor, modelo aLumi pro, color blanco","$1,228.45"
"Ventana corrediza de 1.00x1.00 m, perfil 1 1/2"", cristal claro de 3mm de espesor, modelo aLumi pro, color blanco","$1,107.76"
"Ventana corrediza de 1.20x1.20 m, perfil 1 1/2"", cristal claro de 3mm de espesor, modelo aLumi pro, color blanco","$1,331.90"
"Ventana corrediza de 1.50x1.20 m, perfil 1 1/2"", cristal claro de 3mm de espesor, modelo aLumi pro, color blanco","$1,331.90"
"Ventana corrediza de 1.80x1.20 m, perfil 1 1/2"", cristal claro de 3mm de espesor, modelo aLumi pro, color blanco","$2,068.10"
"Yeso de construcción, tipo Imperial, color blanco, saco de 40 kg","$1,744.63"
