Categoría,Salario Nominal
Aluminero,$595.19
Auxiliar topógrafo,$314.48
Ayudante de instalación,$348.13
Ayudante oficial,$303.18
Cabo de ayudantes,$494.13
Cabo de oficios,$640.12
Cadenero,$269.53
Carpintero de banco,$572.71
Carpintero de obra negra,$471.66
Herrero de campo,$471.66
Oficial albañil,$494.13
Oficial azulejero,$505.36
Oficial colocador,$572.71
Oficial electricista,$572.71
Oficial fierrero,$460.45
Oficial pintor,$426.75
Oficial plomero,$550.25
Oficial vidriero,$449.22
Oficial yesero,$460.45
Operador de camión,$617.64
Operador de cargador,$662.56
Operador de carpeteador,$729.91
Operador de duo-pactor,$550.25
Operador de equipo ligero,$426.75
Operador de motoconformadora,$729.91
Operador de petrolizadora,$662.56
Operador de plancha,$550.25
Operador de retroexcavadora,$729.91
Operador de tractor,$729.91
Operador de vehículo con grúa,$516.55
Rastrillero,$393.03
Tornillero,$404.26
Tubero,$595.19
